subject_id,n_vertices,n_faces,non_manifold_edges,boundary_edges,status
sub-107735100_ses-1,60068,119871,3,266,NON_MANIFOLD
sub-107735100_ses-2,60065,119875,1,254,NON_MANIFOLD
sub-107735100_ses-3,60068,119873,2,263,NON_MANIFOLD
sub-107735100_ses-4,60075,119875,5,278,NON_MANIFOLD
sub-107735100_ses-5,60076,119858,1,293,NON_MANIFOLD
sub-107738100_ses-1,60064,119876,2,252,NON_MANIFOLD
sub-107738100_ses-2,60065,119877,1,252,NON_MANIFOLD
sub-107738100_ses-3,60057,119879,1,234,NON_MANIFOLD
sub-107738100_ses-4,60068,119875,5,264,NON_MANIFOLD
sub-107738100_ses-5,60070,119872,3,269,NON_MANIFOLD
sub-107745100_ses-1,60079,119859,5,302,NON_MANIFOLD
sub-107745100_ses-2,60068,119869,0,265,OK
sub-107752100_ses-1,60061,119871,2,251,NON_MANIFOLD
sub-107752100_ses-4,60071,119876,5,268,NON_MANIFOLD
sub-107753100_ses-1,60066,119855,2,277,NON_MANIFOLD
sub-107753100_ses-2,60067,119864,3,271,NON_MANIFOLD
sub-107753100_ses-4,60068,119866,2,270,NON_MANIFOLD
sub-107764100_ses-1,60065,119861,3,270,NON_MANIFOLD
sub-107764100_ses-2,60061,119880,1,241,NON_MANIFOLD
sub-107764100_ses-3,60066,119884,1,247,NON_MANIFOLD
sub-107764100_ses-4,60071,119880,1,261,NON_MANIFOLD
sub-107764100_ses-5,60070,119875,3,266,NON_MANIFOLD
sub-107766100_ses-1,60066,119876,2,256,NON_MANIFOLD
sub-107766100_ses-2,60073,119877,3,270,NON_MANIFOLD
sub-107766100_ses-4,60079,119884,1,273,NON_MANIFOLD
sub-107766100_ses-5,60085,119878,3,293,NON_MANIFOLD
sub-107773100_ses-1,60065,119864,0,264,OK
sub-107783100_ses-1,60064,119878,3,251,NON_MANIFOLD
sub-107783100_ses-2,60070,119878,2,262,NON_MANIFOLD
sub-107783100_ses-3,60068,119887,2,249,NON_MANIFOLD
sub-107783100_ses-4,60079,119884,4,276,NON_MANIFOLD
sub-107802100_ses-1,60057,119875,2,239,NON_MANIFOLD
sub-107802100_ses-2,60058,119874,1,241,NON_MANIFOLD
sub-107802100_ses-3,60060,119878,2,242,NON_MANIFOLD
sub-107802100_ses-4,60072,119871,3,274,NON_MANIFOLD
sub-107802100_ses-5,60068,119867,4,271,NON_MANIFOLD
sub-107841100_ses-1,60065,119878,1,251,NON_MANIFOLD
sub-107841100_ses-2,60072,119882,4,264,NON_MANIFOLD
sub-107841100_ses-3,60068,119884,5,255,NON_MANIFOLD
sub-107841100_ses-4,60069,119886,3,253,NON_MANIFOLD
sub-107841100_ses-5,60080,119878,1,281,NON_MANIFOLD
sub-107899200_ses-1,60074,119887,4,263,NON_MANIFOLD
sub-107899200_ses-2,60073,119891,0,253,OK
sub-107907100_ses-1,60065,119879,2,251,NON_MANIFOLD
sub-107907100_ses-2,60066,119882,1,249,NON_MANIFOLD
sub-107907100_ses-3,60071,119890,2,252,NON_MANIFOLD
sub-107907100_ses-4,60074,119884,1,263,NON_MANIFOLD
sub-107921100_ses-1,60070,119857,1,282,NON_MANIFOLD
sub-107925100_ses-1,60078,119882,4,276,NON_MANIFOLD
sub-107925100_ses-2,60072,119886,7,262,NON_MANIFOLD
sub-107935100_ses-1,60063,119873,2,253,NON_MANIFOLD
sub-107935100_ses-2,60067,119874,3,261,NON_MANIFOLD
sub-107935100_ses-3,60076,119874,4,280,NON_MANIFOLD
sub-107935100_ses-4,60073,119873,4,275,NON_MANIFOLD
sub-107935100_ses-5,60082,119870,11,303,NON_MANIFOLD
